鄉鎮市區,交易年月日,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,單價元平方公尺,縣市,住宅面積,屋齡_ADD,X,Y,移轉層次_ADD,總樓層數_ADD
文山區,1080331,公寓(5樓含以下無電梯),2,2,2,92535,臺北市,147.620,32,307640.609,2764227.257,4,5
文山區,1080731,公寓(5樓含以下無電梯),4,2,2,121132,臺北市,116.980,37,306692.914,2763867.548,2,4
文山區,1080315,住宅大樓(11層含以上有電梯),3,2,2,155915,臺北市,153.930,7,306921.777,2763937.129,6,15
文山區,1080426,公寓(5樓含以下無電梯),4,2,2,104981,臺北市,145.740,45,305546.647,2765601.024,4,4
文山區,1080925,住宅大樓(11層含以上有電梯),4,2,2,146968,臺北市,145.270,25,305517.537,2765713.393,10,20
文山區,1080529,公寓(5樓含以下無電梯),3,2,1,97105,臺北市,111.220,38,306091.652,2764267.487,5,5
文山區,1080707,華廈(10層含以下有電梯),2,2,2,125631,臺北市,77.210,21,307076.446,2764893.088,5,7
文山區,1080306,公寓(5樓含以下無電梯),3,2,2,110775,臺北市,19.870,39,308096.287,2764785.950,3,5
文山區,1080710,公寓(5樓含以下無電梯),3,2,1,122340,臺北市,94.000,48,304333.880,2764750.027,3,4
文山區,1080518,住宅大樓(11層含以上有電梯),2,1,2,151308,臺北市,126.100,3,306283.507,2766510.739,12,18
文山區,1080621,公寓(5樓含以下無電梯),2,1,2,105782,臺北市,93.400,38,306416.017,2766682.259,4,5
文山區,1080601,住宅大樓(11層含以上有電梯),2,2,1,140120,臺北市,89.770,25,306416.172,2766827.487,6,15
文山區,1080120,華廈(10層含以下有電梯),2,2,1,144443,臺北市,80.170,26,306559.114,2766811.845,8,10
文山區,1080108,套房(1房1廳1衛),1,1,1,140118,臺北市,59.450,17,306555.299,2766894.316,10,14
文山區,1080805,公寓(5樓含以下無電梯),2,2,1,114796,臺北市,101.920,39,306550.000,2764113.094,4,5
文山區,1080329,公寓(5樓含以下無電梯),3,1,1,71531,臺北市,111.840,30,307146.777,2763928.611,1,5
文山區,1080819,公寓(5樓含以下無電梯),3,2,1,92081,臺北市,38.010,39,307965.196,2764657.605,5,5
文山區,1080130,公寓(5樓含以下無電梯),3,2,1,47883,臺北市,91.890,40,308005.695,2764728.248,2,5
